route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R0488,Barcelona,Durban,6191,20,2,Alternative,2145
R0489,Barcelona,Cape Town,6263,23,3,Alternative,2357
R0490,Barcelona,Jeddah,6024,20,2,Alternative,2220
R0491,Barcelona,Muscat,6233,19,1,Economy,2180
R0492,Barcelona,Suez,5741,18,0,Express,1481
R0493,Barcelona,Port Klang,9266,30,1,Economy,3320
R0494,Genoa,Chennai,6914,26,2,Alternative,2569
R0495,Genoa,Mumbai,6530,21,2,Alternative,2516
R0496,Genoa,Kochi,6890,20,0,Economy,1750
R0497,Genoa,Colombo,6443,23,3,Economy,1875
R0498,Genoa,Singapore,10023,29,1,Express,2659
R0499,Genoa,Shanghai,10522,33,2,Alternative,3035
R0500,Genoa,Ningbo,10101,31,1,Alternative,3158
R0501,Genoa,Busan,9937,32,1,Alternative,3595
R0502,Genoa,Hong Kong,9330,34,3,Standard,3290
R0503,Genoa,Dubai,5805,21,1,Economy,1907
R0504,Genoa,Rotterdam,848,9,3,Express,1205
R0505,Genoa,Hamburg,855,8,2,Economy,706
R0506,Genoa,Antwerp,882,5,1,Economy,450
R0507,Genoa,London,885,3,0,Alternative,450
R0508,Genoa,Felixstowe,936,4,0,Express,450
R0509,Genoa,Piraeus,864,5,1,Alternative,466
R0510,Genoa,Barcelona,928,9,2,Standard,891
R0511,Genoa,New York,3961,18,3,Standard,2022
R0512,Genoa,Los Angeles,3745,17,3,Economy,1707
R0513,Genoa,Long Beach,4040,16,3,Standard,1616
R0514,Genoa,Sydney,10832,29,0,Express,3328
R0515,Genoa,Melbourne,10495,33,1,Standard,3233
R0516,Genoa,Vancouver,3736,17,3,Alternative,2202
R0517,Genoa,Durban,5860,20,1,Express,1924
R0518,Genoa,Cape Town,6313,18,0,Alternative,1964
R0519,Genoa,Jeddah,5863,20,1,Standard,1767
R0520,Genoa,Muscat,6047,21,3,Standard,2482
R0521,Genoa,Suez,5764,15,0,Economy,1953
R0522,Genoa,Port Klang,9382,25,0,Economy,2984
R0523,New York,Chennai,10384,33,1,Economy,3224
R0524,New York,Mumbai,11068,38,2,Express,2936
R0525,New York,Kochi,11870,37,1,Economy,3884
R0526,New York,Colombo,10251,33,1,Economy,3726
R0527,New York,Singapore,13190,41,1,Alternative,4039
R0528,New York,Shanghai,12222,36,1,Alternative,3246
R0529,New York,Ningbo,11587,34,0,Express,3087
R0530,New York,Busan,12276,35,1,Express,3791
R0531,New York,Hong Kong,11953,36,0,Economy,3549
R0532,New York,Dubai,9905,31,2,Alternative,3032
R0533,New York,Rotterdam,4314,17,1,Alternative,1251
R0534,New York,Hamburg,4258,14,0,Alternative,1276
R0535,New York,Antwerp,3743,18,3,Express,1868
R0536,New York,London,4281,16,2,Standard,1922
R0537,New York,Felixstowe,3912,17,3,Alternative,1746
R0538,New York,Piraeus,3894,16,2,Express,1874
R0539,New York,Barcelona,3988,15,1,Alternative,1492
R0540,New York,Genoa,3767,11,0,Economy,1031
R0541,New York,Los Angeles,2130,5,0,Standard,659
R0542,New York,Long Beach,2280,7,1,Express,908
R0543,New York,Sydney,6996,21,0,Express,2369
R0544,New York,Melbourne,8065,28,2,Economy,3301
R0545,New York,Vancouver,2195,9,0,Express,637
R0546,New York,Durban,9463,30,1,Alternative,2606
R0547,New York,Cape Town,9917,32,1,Express,3138
R0548,New York,Jeddah,10066,29,0,Alternative,2403
R0549,New York,Muscat,11031,34,1,Express,2712
R0550,New York,Suez,10562,32,0,Express,2676
R0551,New York,Port Klang,13235,37,0,Economy,4033
R0552,Los Angeles,Chennai,10427,37,3,Economy,3266
R0553,Los Angeles,Mumbai,10709,31,1,Economy,3112
R0554,Los Angeles,Kochi,10165,29,1,Express,3309
R0555,Los Angeles,Colombo,11589,31,0,Standard,2934
R0556,Los Angeles,Singapore,13034,38,0,Express,3605
R0557,Los Angeles,Shanghai,12860,43,3,Alternative,4361
R0558,Los Angeles,Ningbo,11960,37,1,Express,3487
R0559,Los Angeles,Busan,13052,39,1,Economy,3756
R0560,Los Angeles,Hong Kong,13382,36,0,Express,3778
R0561,Los Angeles,Dubai,11019,36,1,Alternative,3104
R0562,Los Angeles,Rotterdam,4307,11,0,Alternative,1248
R0563,Los Angeles,Hamburg,4035,14,0,Express,1090
R0564,Los Angeles,Antwerp,4258,19,3,Alternative,1987
R0565,Los Angeles,London,3835,16,3,Economy,2257
R0566,Los Angeles,Felixstowe,4192,14,1,Alternative,1508
R0567,Los Angeles,Piraeus,4102,14,0,Standard,1356
R0568,Los Angeles,Barcelona,4233,13,0,Alternative,1164
R0569,Los Angeles,Genoa,3920,14,2,Alternative,1473
R0570,Los Angeles,New York,2177,5,0,Express,683
R0571,Los Angeles,Long Beach,2122,11,1,Alternative,895
R0572,Los Angeles,Sydney,7936,31,3,Express,2472
R0573,Los Angeles,Melbourne,7239,23,1,Standard,2515
R0574,Los Angeles,Vancouver,2137,7,1,Economy,804
R0575,Los Angeles,Durban,9536,29,2,Express,3429
R0576,Los Angeles,Cape Town,9492,35,3,Alternative,2812
R0577,Los Angeles,Jeddah,11012,30,0,Standard,2899
R0578,Los Angeles,Muscat,10897,31,0,Alternative,2982
R0579,Los Angeles,Suez,10230,35,2,Economy,3671
R0580,Los Angeles,Port Klang,12671,34,0,Standard,3618
R0581,Long Beach,Chennai,11132,37,2,Standard,3276
R0582,Long Beach,Mumbai,10677,32,0,Standard,3596
R0583,Long Beach,Kochi,10874,32,0,Alternative,2678
R0584,Long Beach,Colombo,11080,33,0,Express,3715
R0585,Long Beach,Singapore,12199,36,0,Alternative,3172
R0586,Long Beach,Shanghai,11530,37,1,Standard,3013
R0587,Long Beach,Ningbo,12316,36,1,Express,3384
R0588,Long Beach,Busan,12806,39,1,Express,4241
R0589,Long Beach,Hong Kong,12991,38,1,Economy,3958
R0590,Long Beach,Dubai,11295,36,1,Economy,3925
R0591,Long Beach,Rotterdam,4319,13,0,Alternative,1433
R0592,Long Beach,Hamburg,4124,18,2,Economy,1861
R0593,Long Beach,Antwerp,3754,19,3,Standard,1715
R0594,Long Beach,London,4037,16,2,Economy,1765
R0595,Long Beach,Felixstowe,4050,14,1,Economy,1392
R0596,Long Beach,Piraeus,3830,15,2,Economy,1606
R0597,Long Beach,Barcelona,4017,12,1,Express,1546
R0598,Long Beach,Genoa,3823,12,1,Express,1552
R0599,Long Beach,New York,2278,9,1,Economy,890
R0600,Long Beach,Los Angeles,2350,9,1,Express,985
R0601,Long Beach,Sydney,7339,24,2,Alternative,2512
R0602,Long Beach,Melbourne,7669,27,3,Standard,3032
R0603,Long Beach,Vancouver,2312,6,0,Economy,596
R0604,Long Beach,Durban,9784,32,2,Express,2747
R0605,Long Beach,Cape Town,9665,29,1,Standard,3035
R0606,Long Beach,Jeddah,9953,28,1,Alternative,2657
R0607,Long Beach,Muscat,10535,30,0,Express,3352
R0608,Long Beach,Suez,9690,28,0,Standard,2290
R0609,Long Beach,Port Klang,12113,38,1,Express,3294
R0610,Sydney,Chennai,5478,18,0,Economy,1381
R0611,Sydney,Mumbai,5581,20,1,Express,1920
R0612,Sydney,Kochi,5089,21,2,Express,1922
R0613,Sydney,Colombo,5459,17,1,Alternative,1939
R0614,Sydney,Singapore,4585,18,3,Express,2117
R0615,Sydney,Shanghai,4191,18,3,Economy,1887
R0616,Sydney,Ningbo,4814,16,2,Standard,2084
R0617,Sydney,Busan,4473,19,3,Economy,2243
R0618,Sydney,Hong Kong,4187,13,1,Economy,1412
R0619,Sydney,Dubai,7704,26,2,Alternative,2354
R0620,Sydney,Rotterdam,10637,34,1,Economy,2741
R0621,Sydney,Hamburg,11612,33,1,Standard,3075
R0622,Sydney,Antwerp,10500,33,1,Standard,2831
R0623,Sydney,London,10970,33,0,Economy,2692
R0624,Sydney,Felixstowe,11558,38,3,Alternative,3203
R0625,Sydney,Piraeus,10448,32,1,Express,2701
R0626,Sydney,Barcelona,10569,36,3,Express,3646
R0627,Sydney,Genoa,11319,33,1,Express,3288
R0628,Sydney,New York,7928,23,1,Express,2106
R0629,Sydney,Los Angeles,7683,25,1,Economy,2224
R0630,Sydney,Long Beach,7862,24,0,Economy,2289
R0631,Sydney,Melbourne,1555,5,0,Standard,454
R0632,Sydney,Vancouver,6942,19,0,Economy,2139
R0633,Sydney,Durban,8606,26,1,Economy,2820
R0634,Sydney,Cape Town,8484,24,0,Alternative,2548
R0635,Sydney,Jeddah,7064,19,0,Economy,2341
R0636,Sydney,Muscat,7785,21,0,Economy,2407
R0637,Sydney,Suez,7254,19,0,Alternative,2401
R0638,Sydney,Port Klang,4512,14,1,Standard,1195
R0639,Melbourne,Chennai,5129,20,2,Express,1845
R0640,Melbourne,Mumbai,4913,12,0,Alternative,1582
R0641,Melbourne,Kochi,5415,23,3,Express,2211
R0642,Melbourne,Colombo,5543,17,1,Alternative,2112
R0643,Melbourne,Singapore,4306,12,0,Express,1294
R0644,Melbourne,Shanghai,4611,16,2,Standard,1430
R0645,Melbourne,Ningbo,4449,15,2,Economy,1691
R0646,Melbourne,Busan,4613,13,0,Standard,1238
R0647,Melbourne,Hong Kong,4703,14,0,Alternative,1529
R0648,Melbourne,Dubai,7601,27,3,Standard,3030
R0649,Melbourne,Rotterdam,11692,40,3,Alternative,3819
R0650,Melbourne,Hamburg,11174,30,0,Express,2757
R0651,Melbourne,Antwerp,10208,31,1,Express,2916
R0652,Melbourne,London,10761,32,0,Express,3332
R0653,Melbourne,Felixstowe,10288,33,1,Standard,3258
R0654,Melbourne,Piraeus,10183,29,0,Standard,3122
R0655,Melbourne,Barcelona,11137,33,1,Standard,3515
R0656,Melbourne,Genoa,10753,34,2,Standard,4115
R0657,Melbourne,New York,7904,24,1,Alternative,2072
R0658,Melbourne,Los Angeles,7040,22,1,Express,1929
R0659,Melbourne,Long Beach,7195,23,1,Standard,2095
R0660,Melbourne,Sydney,1448,9,1,Alternative,764
R0661,Melbourne,Vancouver,7946,27,1,Alternative,2182
R0662,Melbourne,Durban,7429,28,3,Alternative,2772
R0663,Melbourne,Cape Town,7579,30,3,Express,2874
R0664,Melbourne,Jeddah,7522,22,1,Standard,2368
R0665,Melbourne,Muscat,7192,28,3,Standard,2270
R0666,Melbourne,Suez,8080,24,0,Alternative,2473
R0667,Melbourne,Port Klang,4359,13,0,Economy,1090
R0668,Vancouver,Chennai,11775,33,1,Economy,3867
R0669,Vancouver,Mumbai,11411,35,2,Alternative,3327
R0670,Vancouver,Kochi,10479,31,0,Express,2487
R0671,Vancouver,Colombo,11513,35,1,Standard,3967
R0672,Vancouver,Singapore,11638,34,1,Standard,3793
R0673,Vancouver,Shanghai,12231,37,1,Standard,4369
R0674,Vancouver,Ningbo,11824,34,1,Economy,4136
R0675,Vancouver,Busan,12106,36,0,Economy,3853
R0676,Vancouver,Hong Kong,11829,37,1,Express,3760
R0677,Vancouver,Dubai,11249,34,0,Standard,3562
R0678,Vancouver,Rotterdam,4160,17,3,Alternative,1955
R0679,Vancouver,Hamburg,3831,13,1,Standard,1514
R0680,Vancouver,Antwerp,4081,20,3,Express,1487
R0681,Vancouver,London,3826,16,2,Express,1678
R0682,Vancouver,Felixstowe,4187,12,0,Express,971
R0683,Vancouver,Piraeus,4242,14,1,Economy,1252
R0684,Vancouver,Barcelona,3895,11,0,Standard,1258
R0685,Vancouver,Genoa,3701,15,1,Standard,1254
R0686,Vancouver,New York,2180,9,2,Alternative,885
R0687,Vancouver,Los Angeles,2156,6,0,Economy,723
R0688,Vancouver,Long Beach,2083,8,1,Economy,876
R0689,Vancouver,Sydney,7508,25,1,Alternative,2727
R0690,Vancouver,Melbourne,7533,20,0,Alternative,1936
R0691,Vancouver,Durban,10495,33,1,Express,3838
R0692,Vancouver,Cape Town,10580,30,1,Economy,3474
R0693,Vancouver,Jeddah,10779,30,0,Express,3615
R0694,Vancouver,Muscat,10173,35,2,Economy,3475
R0695,Vancouver,Suez,11184,33,1,Economy,3887
R0696,Vancouver,Port Klang,13250,42,2,Standard,4284
R0697,Durban,Chennai,4810,12,0,Economy,1278
R0698,Durban,Mumbai,4421,14,1,Alternative,1693
R0699,Durban,Kochi,4452,16,1,Alternative,1509
R0700,Durban,Colombo,4898,16,0,Express,1140
R0701,Durban,Singapore,6997,26,2,Standard,2524
R0702,Durban,Shanghai,6493,24,2,Express,1974
R0703,Durban,Ningbo,6847,23,1,Standard,1971
R0704,Durban,Busan,6189,22,3,Standard,2355
R0705,Durban,Hong Kong,6689,21,0,Express,2110
R0706,Durban,Dubai,4296,12,0,Express,1434
R0707,Durban,Rotterdam,6116,18,1,Economy,1782
R0708,Durban,Hamburg,5827,22,3,Economy,2467
R0709,Durban,Antwerp,6118,20,1,Economy,2111
R0710,Durban,London,5562,19,1,Economy,2003
R0711,Durban,Felixstowe,6243,19,1,Economy,2301
R0712,Durban,Piraeus,6299,23,3,Standard,2313
R0713,Durban,Barcelona,6031,21,2,Express,2345
R0714,Durban,Genoa,6461,20,0,Standard,1968
R0715,Durban,New York,10535,36,2,Standard,2905
R0716,Durban,Los Angeles,10748,36,2,Standard,3618
R0717,Durban,Long Beach,10464,35,3,Express,3540
R0718,Durban,Sydney,7808,23,0,Alternative,2243
R0719,Durban,Melbourne,8547,25,1,Alternative,2943
R0720,Durban,Vancouver,9861,32,1,Standard,3239
R0721,Durban,Cape Town,1781,7,0,Express,543
R0722,Durban,Jeddah,4217,13,0,Alternative,1320
R0723,Durban,Muscat,3760,14,1,Standard,1470
R0724,Durban,Suez,3924,14,1,Alternative,1478
R0725,Durban,Port Klang,6617,22,1,Standard,2192
R0726,Cape Town,Chennai,4626,13,0,Alternative,1247
R0727,Cape Town,Mumbai,5165,20,3,Standard,1939
R0728,Cape Town,Kochi,4510,13,1,Alternative,1484
R0729,Cape Town,Colombo,4759,18,1,Standard,1656
R0730,Cape Town,Singapore,6820,18,0,Economy,1737
R0731,Cape Town,Shanghai,6954,21,1,Alternative,2359
R0732,Cape Town,Ningbo,6273,23,3,Standard,2483
R0733,Cape Town,Busan,6505,19,1,Express,2232
R0734,Cape Town,Hong Kong,6073,17,0,Economy,2034
R0735,Cape Town,Dubai,3825,19,3,Standard,1836
R0736,Cape Town,Rotterdam,6152,20,1,Standard,2014
R0737,Cape Town,Hamburg,5956,20,2,Economy,2029
R0738,Cape Town,Antwerp,5907,17,1,Alternative,2046
R0739,Cape Town,London,5941,18,0,Alternative,1498
R0740,Cape Town,Felixstowe,6193,22,1,Standard,2201
R0741,Cape Town,Piraeus,5535,18,1,Alternative,2046
R0742,Cape Town,Barcelona,6213,22,2,Express,2346
R0743,Cape Town,Genoa,6127,18,1,Express,2184
R0744,Cape Town,New York,9768,29,0,Economy,2615
R0745,Cape Town,Los Angeles,9446,33,3,Economy,2817
R0746,Cape Town,Long Beach,10472,33,1,Alternative,3181
R0747,Cape Town,Sydney,8010,22,0,Express,1861
R0748,Cape Town,Melbourne,7607,25,1,Economy,2498
R0749,Cape Town,Vancouver,10499,34,3,Economy,2892
R0750,Cape Town,Durban,1866,6,1,Economy,945
R0751,Cape Town,Jeddah,4183,13,1,Standard,1559
R0752,Cape Town,Muscat,3725,14,1,Express,1444
R0753,Cape Town,Suez,4172,11,0,Standard,1375
R0754,Cape Town,Port Klang,6896,22,0,Alternative,1920
R0755,Jeddah,Chennai,2433,13,2,Economy,1280
R0756,Jeddah,Mumbai,2229,8,1,Alternative,960
R0757,Jeddah,Kochi,2588,13,2,Economy,1002
R0758,Jeddah,Colombo,2253,7,1,Economy,904
R0759,Jeddah,Singapore,4305,15,1,Alternative,1450
R0760,Jeddah,Shanghai,4315,11,0,Standard,1016
R0761,Jeddah,Ningbo,4818,16,0,Standard,1447
R0762,Jeddah,Busan,4438,13,0,Alternative,1255
R0763,Jeddah,Hong Kong,4215,15,2,Standard,1626
R0764,Jeddah,Dubai,866,5,1,Standard,487
R0765,Jeddah,Rotterdam,6400,20,0,Standard,1863
R0766,Jeddah,Hamburg,5602,19,1,Standard,1953
R0767,Jeddah,Antwerp,5799,19,1,Standard,1614
R0768,Jeddah,London,6316,23,3,Economy,2809
R0769,Jeddah,Felixstowe,5719,19,1,Standard,1603
R0770,Jeddah,Piraeus,5858,18,0,Standard,1895
R0771,Jeddah,Barcelona,6464,18,0,Express,1707
R0772,Jeddah,Genoa,5662,20,1,Express,1426
R0773,Jeddah,New York,9733,32,2,Alternative,3134
R0774,Jeddah,Los Angeles,11212,36,1,Alternative,3785
R0775,Jeddah,Long Beach,9794,29,0,Standard,2286
R0776,Jeddah,Sydney,7062,21,1,Standard,2570
R0777,Jeddah,Melbourne,7207,22,0,Express,2329
R0778,Jeddah,Vancouver,10205,29,0,Alternative,3448
R0779,Jeddah,Durban,4100,13,1,Express,1261
R0780,Jeddah,Cape Town,4024,14,1,Alternative,1391
R0781,Jeddah,Muscat,827,11,3,Alternative,970
R0782,Jeddah,Suez,804,3,0,Express,450
R0783,Jeddah,Port Klang,4527,14,1,Alternative,1337
R0784,Muscat,Chennai,2415,10,1,Standard,906
R0785,Muscat,Mumbai,2556,8,0,Express,621
R0786,Muscat,Kochi,2276,10,1,Alternative,1002
R0787,Muscat,Colombo,2358,11,1,Express,887
R0788,Muscat,Singapore,4291,15,1,Alternative,1546
R0789,Muscat,Shanghai,4422,14,0,Standard,1278
R0790,Muscat,Ningbo,4400,14,0,Standard,1326
R0791,Muscat,Busan,4635,14,1,Economy,1294
R0792,Muscat,Hong Kong,4424,17,2,Alternative,1620
R0793,Muscat,Dubai,899,4,1,Express,450
R0794,Muscat,Rotterdam,6316,20,0,Standard,2010
R0795,Muscat,Hamburg,5842,21,1,Standard,1512
R0796,Muscat,Antwerp,5672,21,2,Express,1689
R0797,Muscat,London,5982,23,3,Standard,2540
R0798,Muscat,Felixstowe,6080,17,0,Standard,1578
R0799,Muscat,Piraeus,5645,19,1,Express,1602
R0800,Muscat,Barcelona,6276,20,1,Express,1933
R0801,Muscat,Genoa,6358,23,3,Alternative,2614
R0802,Muscat,New York,9711,33,2,Alternative,3684
R0803,Muscat,Los Angeles,10274,32,2,Economy,2622
R0804,Muscat,Long Beach,10775,35,3,Express,3149
R0805,Muscat,Sydney,7485,22,0,Economy,2127
R0806,Muscat,Melbourne,7041,24,1,Alternative,2064
R0807,Muscat,Vancouver,9859,28,0,Express,2776
R0808,Muscat,Durban,3897,12,0,Standard,1104
R0809,Muscat,Cape Town,4040,16,3,Economy,2051
R0810,Muscat,Jeddah,790,5,1,Alternative,450
R0811,Muscat,Suez,793,7,1,Economy,510
R0812,Muscat,Port Klang,4235,19,3,Economy,1533
R0813,Suez,Chennai,2463,8,1,Standard,1056
R0814,Suez,Mumbai,2307,10,1,Standard,1068
R0815,Suez,Kochi,2217,9,1,Standard,794
R0816,Suez,Colombo,2463,6,0,Express,784
R0817,Suez,Singapore,4372,14,0,Express,1319
R0818,Suez,Shanghai,4303,17,1,Economy,1183
R0819,Suez,Ningbo,4752,18,1,Economy,1709
R0820,Suez,Busan,4679,18,1,Alternative,1556
R0821,Suez,Hong Kong,4259,13,1,Economy,1433
R0822,Suez,Dubai,898,8,2,Economy,890
R0823,Suez,Rotterdam,5728,21,3,Economy,2595
R0824,Suez,Hamburg,5780,21,3,Express,2057
R0825,Suez,Antwerp,6162,19,0,Express,1579
R0826,Suez,London,5520,19,1,Express,1798
R0827,Suez,Felixstowe,6203,17,0,Express,1509
R0828,Suez,Piraeus,5919,18,0,Alternative,1939
R0829,Suez,Barcelona,5681,17,1,Alternative,2121
R0830,Suez,Genoa,5913,21,1,Alternative,2150
R0831,Suez,New York,11286,34,2,Economy,3755
R0832,Suez,Los Angeles,9835,26,0,Express,3077
R0833,Suez,Long Beach,11122,34,1,Standard,3903
R0834,Suez,Sydney,7696,26,2,Standard,2663
R0835,Suez,Melbourne,7604,30,3,Express,3001
R0836,Suez,Vancouver,10392,32,1,Express,2875
R0837,Suez,Durban,4292,16,2,Alternative,1769
R0838,Suez,Cape Town,4114,13,0,Standard,1160
R0839,Suez,Jeddah,827,3,0,Economy,450
R0840,Suez,Muscat,912,5,0,Economy,450
R0841,Suez,Port Klang,4844,14,0,Alternative,1328
R0842,Port Klang,Chennai,2660,9,0,Express,717
R0843,Port Klang,Mumbai,2498,12,1,Alternative,1075
R0844,Port Klang,Kochi,2406,9,0,Alternative,716
R0845,Port Klang,Colombo,2331,11,1,Economy,875
R0846,Port Klang,Singapore,2536,13,3,Economy,1641
R0847,Port Klang,Shanghai,2399,11,2,Alternative,1105
R0848,Port Klang,Ningbo,2711,15,3,Alternative,1875
R0849,Port Klang,Busan,2712,11,1,Express,789
R0850,Port Klang,Hong Kong,2642,13,3,Standard,1320
R0851,Port Klang,Dubai,4437,13,1,Express,1724
R0852,Port Klang,Rotterdam,9477,29,2,Alternative,2753
R0853,Port Klang,Hamburg,10641,34,3,Alternative,3598
R0854,Port Klang,Antwerp,9342,27,0,Alternative,2224
R0855,Port Klang,London,9712,31,1,Economy,2927
R0856,Port Klang,Felixstowe,9334,25,0,Express,2788
R0857,Port Klang,Piraeus,10758,30,0,Express,3056
R0858,Port Klang,Barcelona,10168,32,1,Standard,3485
R0859,Port Klang,Genoa,9816,31,2,Standard,3728
R0860,Port Klang,New York,12445,34,0,Alternative,3831
R0861,Port Klang,Los Angeles,12437,42,3,Alternative,4649
R0862,Port Klang,Long Beach,12630,34,0,Standard,3714
R0863,Port Klang,Sydney,4745,17,1,Alternative,1586
R0864,Port Klang,Melbourne,4524,15,2,Standard,1713
R0865,Port Klang,Vancouver,12526,36,0,Economy,4124
R0866,Port Klang,Durban,7006,23,2,Express,2095
R0867,Port Klang,Cape Town,6782,25,3,Express,2484
R0868,Port Klang,Jeddah,4180,13,1,Express,1215
R0869,Port Klang,Muscat,4310,13,0,Alternative,1085
R0870,Port Klang,Suez,4705,19,2,Express,1687
